EMUL_OIL_L_TEMP_PV_VAL0,STAND_OIL_L_TEMP_PV_REAL_VAL0,GEAR_OIL_L_TEMP_PV_REAL_VAL0,EMUL_OIL_L_PR_VAL0,QUENCH_CW_FLOW_EXIT_VAL0,CAST_WHEEL_RPM_VAL0,BAR_TEMP_VAL0,QUENCH_CW_FLOW_ENTRY_VAL0,GEAR_OIL_L_PR_VAL0,STANDS_OIL_L_PR_VAL0,TUNDISH_TEMP_VAL0,BATH_TEMP_F7_VAL0,BATH_TEMP_F8_VAL0,RM_MOTOR_COOL_WATER__VAL0,ROLL_MILL_AMPS_VAL0,RM_COOL_WATER_FLOW_VAL0,EMULSION_LEVEL_ANALO_VAL0,pctAL
60.35586548,53.89926147,57.16844177,1.757400513,9.206683059,2.029669285,586.6187744,244.340181,1.953109741,2.02513504,696.173584,728.4881592,656.5024414,1.186439514,365.1733398,209.3264771,1213.542725,99.732
60.06871033,54.1313324,57.2170105,1.76250267,9.188213554,2.029669285,596.2801514,243.9195468,1.949245453,2.029371262,702.9924316,728.9605713,598.4567871,1.16289711,353.972168,209.2613525,1212.726807,99.732
60.39823914,54.18414307,57.45951843,1.752281189,9.204298872,2.029064894,599.9200439,243.1189684,1.940843582,2.015987396,697.1125488,723.0621338,642.5009766,1.157381058,344.284668,209.0717773,1214.20459,99.732
60.35952759,54.66690063,57.62426758,1.773180008,9.154421669,2.022418261,599.9029541,241.5529069,1.931720734,2.014415741,691.5949707,717.7073975,647.9846191,1.153419495,319.5361328,208.7688599,1215.308594,99.732
60.44805908,54.95445251,57.69908142,1.771347046,9.188817548,2.01436162,599.9477539,241.492889,1.929428101,2.012123108,688.2946777,716.4044189,673.6169434,1.166463852,319.309082,208.6933594,1213.763672,99.732
60.40911865,55.24047852,57.7169342,1.753120422,9.170379831,2.029266357,599.9475098,241.2741795,1.930244446,2.013580322,694.1564941,720.8167725,696.5563965,1.164777756,328.5424805,208.4028931,1213.709961,99.732
60.49383545,55.40455627,57.98989868,1.779489517,9.14183316,2.014160156,599.9606934,241.7487282,1.936470032,2.009212494,699.4934082,724.1864014,731.9890137,1.159013748,334.21875,208.4646606,1214.747559,99.692
60.39759827,55.63777161,58.04351807,1.78968811,9.105879612,2.023022413,599.8859863,241.2004286,1.927080154,2.005369186,695.4658203,720.4881592,740.331543,1.129056931,323.5473633,208.3723145,1213.786377,99.732
60.40950012,55.70578003,58.12376404,1.77825737,9.159984774,2.023223877,599.9053955,241.2411188,1.919906616,2.00393486,688.6948242,715.8270264,743.7167969,1.139299393,369.1088867,207.953064,1213.793457,99.732
60.48403931,55.80609131,58.2852478,1.770898819,9.155057453,2.022015333,599.876709,241.4135432,1.917575836,2.004404068,695.9406738,719.6644287,744.6396484,1.117961884,381.7480469,208.164978,1211.61084,99.692
60.32763672,55.95080566,58.44308472,1.796894073,9.121837774,2.024029493,575.2215576,240.7686046,1.907600403,2.009126663,700.6408691,723.6519775,743.4145508,1.166727066,325.9692383,207.8426514,1212.735352,99.692
60.27485657,56.00390625,58.5332489,1.797525406,9.144153769,2.029467821,597.932251,241.5462948,1.909303665,2.001157761,693.7910156,719.4945068,746.1970215,1.144975662,380.6884766,207.9039307,1211.245117,99.732
60.21990967,56.05107117,58.58721924,1.769153595,9.145933962,2.013958693,586.7363281,241.0508924,1.910720825,2.002250671,687.9431152,716.5096436,745.3022461,1.188192368,355.1074219,207.9751587,1211.162354,99.692
60.16372681,55.94926453,58.7240448,1.787761688,9.142500732,2.014764309,599.9361572,240.9679862,1.911485672,2.000282288,691.6447754,722.7852783,743.998291,1.184074402,359.1943359,208.178772,1210.532959,99.732
60.32763672,55.95080566,58.44308472,1.796894073,9.121837774,2.024029493,575.2215576,240.7686046,1.907600403,2.009126663,700.6408691,723.6519775,743.4145508,1.166727066,325.9692383,207.8426514,1212.735352,99.692
